filename;symbol;codepoint;width;height;weight_total;weight_total_rel;weight_q1;weight_q2;weight_q3;weight_q4;weight_q1_rel;weight_q2_rel;weight_q3_rel;weight_q4_rel;center_x;center_y;center_x_rel;center_y_rel;ix;iy;ix_rel;iy_rel
01_U0410.png;А;U0410;30;36;522;0.483333;71;179;118;154;0.262963;0.662963;0.437037;0.570370;16.365900;18.295019;0.564341;0.522715;56472.567050;35455.113027;0.048416;0.030397
02_U0411.png;Б;U0411;27;36;537;0.552469;158;65;155;159;0.675214;0.257937;0.662393;0.630952;12.603352;18.584730;0.484744;0.530992;69126.394786;32572.513966;0.073166;0.034476
03_U0412.png;В;U0412;26;37;552;0.573805;125;120;169;138;0.534188;0.512821;0.684211;0.558704;12.818841;19.463768;0.512754;0.540660;62947.275362;32411.884058;0.068018;0.035023
04_U0413.png;Г;U0413;26;36;383;0.409188;154;75;154;0;0.658120;0.320513;0.658120;0.000000;9.172324;14.780679;0.366893;0.422305;49259.577023;14664.626632;0.056226;0.016739
05_U0414.png;Д;U0414;35;45;507;0.321905;69;155;107;176;0.184492;0.391414;0.273657;0.425121;18.280079;22.913215;0.537649;0.520755;82174.181460;31704.228797;0.033126;0.012781
06_U0415.png;Е;U0415;29;38;498;0.451906;135;128;126;109;0.507519;0.449123;0.473684;0.382456;12.658635;18.401606;0.452094;0.497341;54821.678715;35643.967871;0.045143;0.029351
07_U0416.png;Ж;U0416;46;37;788;0.462985;172;176;217;223;0.415459;0.425121;0.496568;0.510297;22.727157;18.927665;0.505048;0.525768;107122.876904;114796.338832;0.036980;0.039629
08_U0405.png;Ѕ;U0405;33;39;506;0.393162;143;95;88;180;0.470395;0.294118;0.275000;0.529412;17.754941;19.812253;0.554842;0.521375;73775.164032;39227.612648;0.044540;0.023683
09_U0417.png;З;U0417;33;39;505;0.392385;91;142;102;170;0.299342;0.439628;0.318750;0.500000;19.279208;19.742574;0.602475;0.519541;70336.534653;37453.631683;0.042464;0.022612
10_U0418.png;И;U0418;32;36;662;0.574653;155;178;174;155;0.538194;0.618056;0.604167;0.538194;15.916918;17.453172;0.513449;0.498662;74578.048338;60240.430514;0.056196;0.045392
11_U0049.png;I;U0049;13;36;308;0.658120;60;94;60;94;0.555556;0.746032;0.555556;0.746032;6.415584;17.500000;0.534632;0.500000;36865.000000;2082.805195;0.168315;0.009509
12_U041A.png;К;U041A;31;36;610;0.546595;162;131;154;163;0.600000;0.454861;0.570370;0.565972;14.239344;17.834426;0.474645;0.509555;74644.277049;43873.055738;0.059933;0.035226
13_U041B.png;Л;U041B;30;36;489;0.452778;43;153;145;148;0.159259;0.566667;0.537037;0.548148;15.521472;19.926380;0.535223;0.569325;52843.349693;26780.024540;0.045305;0.022960
14_U041C.png;М;U041C;47;36;831;0.491135;175;194;240;222;0.422705;0.449074;0.579710;0.513889;24.397112;18.862816;0.530372;0.538938;90858.361011;131284.953069;0.031737;0.045858
15_U041D.png;Н;U041D;32;36;660;0.572917;174;155;155;176;0.604167;0.538194;0.538194;0.611111;15.910606;17.516667;0.513245;0.500476;74420.816667;60193.725758;0.056078;0.045357
16_U041E.png;О;U041E;30;38;517;0.453509;125;133;126;133;0.438596;0.466667;0.442105;0.466667;14.557060;18.535783;0.501968;0.500967;51354.588008;49059.566731;0.039516;0.037750
17_U041F.png;П;U041F;32;36;627;0.544271;160;160;154;153;0.555556;0.555556;0.534722;0.531250;15.902711;17.148325;0.512991;0.489952;76851.205742;59787.065391;0.057909;0.045051
18_U0420.png;Р;U0420;27;37;445;0.445445;127;139;162;17;0.542735;0.551587;0.655870;0.063910;11.193258;16.314607;0.430510;0.453184;45203.955056;25803.379775;0.045294;0.025855
19_U0421.png;С;U0421;31;38;470;0.398981;124;110;126;110;0.435088;0.361842;0.442105;0.361842;13.487234;18.572340;0.449574;0.501955;50693.040426;42709.423404;0.036531;0.030777
20_U0422.png;Т;U0422;35;36;415;0.329365;131;146;60;78;0.428105;0.450617;0.196078;0.240741;16.872289;12.881928;0.496244;0.368055;53083.214458;25148.231325;0.033436;0.015840
21_U0478.png;Ѹ;U0478;59;52;837;0.272816;365;167;142;163;0.484085;0.214103;0.188329;0.208974;25.752688;21.946237;0.444012;0.430318;106368.580645;230497.806452;0.011301;0.024488
22_U0424.png;Ф;U0424;40;36;714;0.495833;179;179;179;177;0.497222;0.497222;0.497222;0.491667;19.535014;17.462185;0.500898;0.498920;59547.478992;83583.624650;0.028717;0.040308
23_U0425.png;Х;U0425;34;37;458;0.364070;141;95;81;141;0.460784;0.310458;0.250774;0.436533;16.674672;17.362445;0.505293;0.482290;63419.834061;27698.526201;0.040074;0.017502
24_U0426.png;Ц;U0426;35;47;650;0.395137;194;173;122;161;0.496164;0.417874;0.299020;0.372685;16.486154;19.587692;0.484887;0.425819;96819.501538;66006.375385;0.035779;0.024392
25_U0427.png;Ч;U0427;30;36;482;0.446296;142;153;25;162;0.525926;0.566667;0.092593;0.600000;16.952282;14.811203;0.584561;0.423177;50019.819502;30373.902490;0.042884;0.026041
26_U0428.png;Ш;U0428;46;36;937;0.565821;230;231;238;238;0.555556;0.557971;0.574879;0.574879;22.775880;17.771612;0.506131;0.507760;114303.124867;174840.934899;0.041681;0.063756
27_U0429.png;Щ;U0429;46;49;1012;0.448980;302;303;200;207;0.547101;0.548913;0.347826;0.360000;22.777668;19.583992;0.506170;0.408000;156477.860672;175178.975296;0.030800;0.034481
28_U042A.png;Ъ;U042A;39;36;542;0.386040;151;83;78;230;0.441520;0.230556;0.228070;0.638889;20.909594;18.201107;0.550252;0.520032;68775.079336;51980.570111;0.034890;0.026370
29_U042B.png;Ы;U042B;43;36;760;0.490956;162;138;200;260;0.428571;0.348485;0.529101;0.656566;20.717105;19.481579;0.493264;0.556617;87063.742105;134094.177632;0.036333;0.055959
30_U042C.png;Ь;U042C;28;36;484;0.480159;160;2;157;165;0.634921;0.007937;0.623016;0.654762;12.002066;20.611570;0.444521;0.588902;51224.975207;31244.997934;0.050415;0.030751
31_U0462.png;Ѣ;U0462;37;44;608;0.373464;172;111;116;209;0.434343;0.265550;0.292929;0.500000;20.064145;22.985197;0.557337;0.534539;100380.866776;49364.498355;0.037874;0.018625
32_U042E.png;Ю;U042E;46;38;835;0.477689;252;170;243;170;0.576659;0.389016;0.556064;0.389016;21.439521;18.505389;0.476434;0.500146;88472.725749;164383.695808;0.028955;0.053799
33_U0474.png;Ѵ;U0474;37;37;439;0.320672;144;99;149;47;0.444444;0.289474;0.435673;0.130194;15.334852;16.145786;0.425968;0.448494;54164.669704;33835.776765;0.028901;0.018054
34_U046E.png;Ѯ;U046E;29;58;726;0.431629;140;198;152;236;0.344828;0.455172;0.374384;0.542529;15.626722;30.112948;0.558097;0.528297;206530.738292;45815.841598;0.073002;0.016194
35_U0470.png;Ѱ;U0470;44;44;690;0.356405;206;182;180;122;0.425620;0.376033;0.371901;0.252066;20.266667;20.034783;0.471318;0.465925;86173.165217;55846.933333;0.022991;0.014900
36_U0460.png;Ѡ;U0460;47;37;861;0.495112;237;214;221;189;0.572464;0.495370;0.505721;0.414474;21.368177;16.857143;0.464526;0.468254;104877.428571;170352.288037;0.034680;0.056331
37_U0472.png;Ѳ;U0472;31;38;569;0.483022;142;152;132;143;0.498246;0.500000;0.463158;0.470395;15.309315;18.323374;0.510310;0.495226;51926.499121;50185.560633;0.037420;0.036165
38_U0466.png;Ѧ;U0466;42;36;668;0.441799;66;143;225;234;0.174603;0.378307;0.595238;0.619048;21.666168;21.288922;0.528443;0.608255;68151.238024;71592.555389;0.029811;0.031316
39_U046A.png;Ѫ;U046A;45;36;666;0.411111;163;99;194;210;0.411616;0.239130;0.489899;0.507246;21.168168;19.623123;0.481095;0.560661;86276.403904;82249.165165;0.032875;0.031340
