rank;time_start;time_end;freq_start;freq_end;energy
1;5.700;5.800;550.0;600.0;1.16744907e+05
2;11.800;11.900;550.0;600.0;1.15832663e+05
3;17.500;17.600;100.0;150.0;1.06392521e+05
4;27.700;27.800;550.0;600.0;1.01804452e+05
5;33.500;33.600;100.0;150.0;9.82657360e+04
6;3.000;3.100;400.0;450.0;9.78227371e+04
7;3.800;3.900;550.0;600.0;9.18833712e+04
8;6.000;6.100;650.0;700.0;8.63892832e+04
9;28.000;28.100;100.0;150.0;8.37756991e+04
10;26.000;26.100;100.0;150.0;8.34200649e+04
11;11.900;12.000;550.0;600.0;8.31887282e+04
12;27.800;27.900;550.0;600.0;8.27024479e+04
